품목그룹1코드,총중량
(미매칭),1
(빈그룹),17349
AA,27980
AAA,594
AL,15
AVI,6016
CA,240
CVL,135532
EXXO,8100
FU,12925
GS,15478
HO,600
IL,409023
MB,85744
MOBIS,134
PVL,86985
SH,30
SK,5936
ST,40
SY,112
VA,372
