품목코드,창고코드,재고수량,중량,총중량(중량×재고수량)
147988,34,-22,20,-440
147989,02,8,16,128
148326,02,8,12,96
148382,02,34,12,408
148382,34,1,12,12
148383,02,84,12,1008
148383,15,-54,12,-648
148383,40,12,12,144
148383,41,5,12,60
148383,42,2,12,24
148384,02,29,12,348
148384,40,2,12,24
148384,42,2,12,24
148385,02,131,12,1572
148385,15,-12,12,-144
148385,40,4,12,48
148385,42,7,12,84
148919,02,44,18,792
148919,40,1,18,18
2593096,02,14,20,280
2593110,02,8,12,96
2593110,15,1,12,12
2593110,42,1,12,12
2596018,02,1,200,200
2596096,02,26,20,520
2596096,40,1,20,20
2596096,41,1,20,20
2596096,42,1,20,20
2599018,02,7,200,1400
2599096,02,14,20,280
2599096,14,1,20,20
2605018,02,1,200,200
2605096,02,2,20,40
2608096,02,54,20,1080
2618096,02,13,20,260
2771110-EA,02,2,1,2
3246036,02,1,180,180
4874096,02,42,20,840
6063512,02,7,6,42
6063512,15,2,6,12
6063512,40,1,6,6
AA00001,02,3,20,60
AA00002,02,2,10,20
AA00042,02,18,20,360
AA00042,34,1,20,20
AA00042,42,1,20,20
AA00046,02,5,20,100
AA00048,02,67,12,804
AA00048,14,6,12,72
AA00048,15,2,12,24
AA00048,41,2,12,24
AA00054,02,2,20,40
AA00055,02,7,16,112
AA00062,02,2,16,32
AA00081,02,8,8,64
AA00081,42,1,8,8
AA00120,02,1,21,21
AA00163,02,2,4.028,8.056
AA00163,42,1,4.028,4.028
AA00165,02,21,22,462
AA00182,02,61,18,1098
AA00182,34,-2,18,-36
AA00209,02,500,14.192,7096.249
AA00209,14,9,14.192,127.732
AA00209,15,6,14.192,85.155
AA00209,34,18,14.192,255.465
AA00209,40,2,14.192,28.385
AA00209,41,-14,14.192,-198.695
AA00212,02,1,20,20
AA00215,02,20,15,300
AA00215,15,2,15,30
AA00215,34,-2,15,-30
AA00215,40,1,15,15
AA00215,41,1,15,15
AA00217,02,45,15,675
AA00217,34,-2,15,-30
AA00217,40,2,15,30
AA00217,41,1,15,15
AA00234,02,33,12,396
AA00234,14,5,12,60
AA00234,15,3,12,36
AA00234,41,1,12,12
AA00235,02,33,20,660
AA00239,02,40,15,600
AA00256,02,39,10.408,405.914
AA00256,15,1,10.408,10.408
AA00256,42,1,10.408,10.408
AA00265,02,2,12,24
AA00265,41,1,12,12
AA00284,02,14,16,224
AL00061,02,3,15,45
AL00136,02,7,20,140
AL00138,02,10,12,120
AL00138,15,2,12,24
AL00160,34,-2,12,-24
AL00721,02,5,15,75
AL00761,02,4,10,40
CA00057,02,23,20,460
CA00057,15,2,20,40
CA00057,40,2,20,40
CA00057,41,2,20,40
GS00105,02,7,200,1400
GS00106,02,27,16,432
GS00114,02,70,18,1260
GS00114,34,1,18,18
GS00117,02,8,200,1600
HK00002,02,2,200,400
HK00004,02,9,12,108
HK00004,34,-2,12,-24
HK00007-EA,15,3,4,12
HK00007-EA,34,-3,4,-12
HK00016,02,5,18,90
HK00019,02,7,18,126
HK00022,02,1,12,12
HK00025,02,8,12,96
HK00028,02,4,12,48
HK00032,02,6,12,72
HK00033,02,5,20,100
HK00037,02,12,16,192
HK00038,02,27,12,324
HK00040,02,3,16,48
HK00050,02,6,12,72
HK00070,02,1,18,18
HK00071,02,8,12,96
HK00073,02,7,12,84
HK00074,02,1,20,20
HK00080,02,14,16,224
HK00081,02,6,12,72
HK00086,02,5,16,80
HK00087,02,15,12,180
HK00096,02,14,12,168
HK00097,02,2,12,24
HK00099,02,23,16,368
HK00099,34,-1,16,-16
HK00100,02,2,16,32
HK00100,34,-1,16,-16
HK00101,02,4,12,48
HK00104,02,2,12,24
HK00106,02,3,12,36
HK00107,14,2,16,32
HK00109,02,9,12,108
HK00109,34,1,12,12
HK00111,02,33,16,528
HK00111,34,1,16,16
HK00112,02,6,12,72
HK00113,02,1,10,10
HK00114,02,2,20,40
ST00033,02,11,20,220
