품목코드,창고코드,재고수량,중량,총중량(중량×재고수량)
144507,51,19,20,380
144508,42,129,200,25800
144508,50,1,200,200
144513,34,2,208,416
144514,34,-2,208,-416
144531,42,47,20,940
144532,42,134,200,26800
145419,42,69,16,1104
145991,06,12,20,240
146703,42,2,200,400
147122,02,93,12,1116
147122,03,64,12,768
147122,05,99,12,1188
147122,06,51,12,612
147122,50,56,12,672
147122,51,17,12,204
147133,05,4,200,800
147284,02,31,208,6448
147284,03,26,208,5408
147284,05,15,208,3120
147284,06,20,208,4160
147284,34,2,208,416
147284,50,12,208,2496
147284,51,4,208,832
147379,02,7,12,84
147379,03,50,12,600
147379,05,20,12,240
147379,06,36,12,432
147379,51,7,12,84
147391,02,38,208,7904
147391,03,40,208,8320
147391,05,79,208,16432
147391,06,11,208,2288
147391,34,-2,208,-416
147391,50,18,208,3744
147391,51,7,208,1456
147705,02,11,12,132
147705,03,11,12,132
147705,54,22,12,264
147829,02,56,12,672
147829,03,12,12,144
147829,05,5,12,60
147829,06,5,12,60
147958,02,20,12,240
147958,06,15,12,180
147958,42,76,12,912
147958,51,9,12,108
147958-EA,42,26,1,26
147961,02,144,12,1728
147961,03,72,12,864
147961,54,217,12,2604
147963,42,43,12,516
147963,51,32,12,384
147963-EA,42,28,1,28
147988,42,70,20,1400
147989,42,43,16,688
147999,02,10,200,2000
147999,03,5,200,1000
147999,54,6,200,1200
148326,42,37,12,444
148326-EA,42,8,1,8
148383,42,178,12,2136
148383,51,49,12,588
148384,42,121,12,1452
148384,51,32,12,384
148385,42,191,12,2292
148385,51,55,12,660
148692,02,56,12,672
148692,03,104,12,1248
148692,05,65,12,780
148692,06,218,12,2616
148692,50,28,12,336
148692,51,68,12,816
148789,02,12,208,2496
148789,03,13,208,2704
148789,05,8,208,1664
148789,06,14,208,2912
1713361,05,8,1,8
1713380,05,74,0,0
1713380,06,200,0,0
1713414,05,9,1,9
1713945,05,22,0,0
1713947,05,2,1,2
1713947,06,2,1,2
2070042,06,25,208,5200
2579018-P3,54,111,4,444
2579888,54,4000,1,4000
2593096,42,10,20,200
2593096,51,6,20,120
2593110,34,1,12,12
2593110,42,15,12,180
2593110-EA,34,-12,1,-12
2596018,42,1,200,200
2596096,51,10,20,200
2599018,42,3,200,600
2599018,51,1,200,200
2599096,06,11,20,220
2599096,42,30,20,600
2599096,51,5,20,100
2600018,51,1,200,200
2600096,42,5,20,100
2605018-P1,54,25,20,500
2605096,06,20,20,400
2605096,42,5,20,100
2608018-P3,54,98,6,588
2608019,42,2,200,400
2608096,06,8,20,160
2608096,51,48,20,960
2608097,06,190,20,3800
2608097,42,96,20,1920
2618096,42,14,20,280
2618096,51,4,20,80
2647018,06,4,200,800
2647019,05,2,200,400
2647096,05,43,20,860
2647096,06,48,20,960
2647096,50,11,20,220
2648018,06,3,200,600
2648019,05,17,200,3400
2648096,05,45,20,900
2648096,06,10,20,200
2648096,50,1,20,20
2649019,05,6,200,1200
2668096,05,10,20,200
2668096,06,4,20,80
2668096,50,3,20,60
2669018,06,6,200,1200
2669096,06,5,20,100
2670018,09,5,200,1000
2779110-EA,45,-1,1,-1
2782110-EA,45,1,1,1
2812110,32,-1,12,-12
3064018,06,3,200,600
3065018,06,1,200,200
3130096,05,33,20,660
3234068,05,1,16,16
3234068,06,10,16,160
3247068,05,8,16,128
3249220,06,6,16,96
3252068,05,1,16,16
3252068,06,2,16,32
3253068,06,3,16,48
3253069,05,12,16,192
3254068,05,10,16,160
3254068,06,2,16,32
3255068,05,11,16,176
3255068,06,2,16,32
3259220,06,6,16,96
3260029,06,1,18,18
3264036,50,5,180,900
3280068,05,1,16,16
3280068,06,17,16,272
3281068,05,4,16,64
3281068,06,1,16,16
4323019,05,20,200,4000
4333018,06,14,200,2800
4333096,06,74,20,1480
4345096,05,5,20,100
4345096,06,2,20,40
4365042,06,55,208,11440
4365043,06,14,208,2912
4371018,06,2,200,400
4371096,06,3,20,60
4375018,06,3,200,600
4375096,06,9,20,180
4375096,50,4,20,80
4375097,05,45,20,900
4375097,50,7,20,140
4402043,05,16,208,3328
4404019,05,10,200,2000
4404097,06,1,20,20
4405019,05,7,200,1400
4406019,05,2,200,400
4419042,05,1,208,208
4420042,05,2,208,416
4420096,05,4,20,80
4434018,06,12,200,2400
4435018,06,13,200,2600
4440018,06,-1,200,-200
4440019,05,2,200,400
4440096,05,23,20,460
4440096,06,10,20,200
4441018,06,2,200,400
4441096,05,10,20,200
4441096,06,10,20,200
4443020,06,4,200,800
4443021,05,9,200,1800
4443096,06,16,20,320
4443097,05,51,20,1020
4444018,06,-3,200,-600
4444019,05,3,200,600
4444020,05,4,200,800
4444096,06,13,20,260
4444097,05,6,20,120
4449197,50,2,19,38
4452096,05,6,20,120
4453096,05,9,20,180
4454042-P,05,68,10,680
4454042-R,05,5,208,1040
4454044,05,7,208,1456
4454096,05,7,20,140
4454096,06,1,20,20
4459019,05,26,200,5200
4464096,05,23,20,460
4465018,06,1,200,200
4465096,06,58,20,1160
4465096,50,12,20,240
4465097,05,31,20,620
4466018,06,3,200,600
4466096,06,17,20,340
4466096,50,9,20,180
4466097,05,60,20,1200
4467042,06,5,208,1040
4467197,05,8,19,152
4467197,06,6,19,114
4468096,05,2,20,40
4469096,05,2,20,40
4470096,06,11,20,220
4472096,06,21,20,420
4473197,06,1,19,19
4475042,05,1,208,208
4475197,05,13,19,247
4475197,06,26,19,494
4475197,50,3,19,57
4476042,06,2,208,416
4476197,06,11,19,209
4476197,50,1,19,19
4476198,05,16,19,304
4477043,05,2,208,416
4478042,06,8,208,1664
4478043,05,15,208,3120
4479043,05,5,208,1040
4479097,05,24,20,480
4481097,05,1,20,20
4481097,06,10,20,200
4482197,06,12,19,228
4482198,05,27,19,513
4485018,05,1,200,200
4485018,06,6,200,1200
4485096,05,53,20,1060
4485096,06,12,20,240
4485096,50,8,20,160
4486018,03,10,200,2000
4486018,05,67,200,13400
4486018,06,15,200,3000
4486018,50,6,200,1200
4486019,05,15,200,3000
4486096,05,488,20,9760
4486096,06,141,20,2820
4486096,50,58,20,1160
4487018,05,15,200,3000
4487018,06,29,200,5800
4487096,05,107,20,2140
4487096,06,181,20,3620
4487096,50,2,20,40
4490018,06,2,200,400
4490096,05,8,20,160
4490096,06,42,20,840
4490096,50,18,20,360
4491018,06,4,200,800
4491096,05,74,20,1480
4491096,06,104,20,2080
4491096,50,48,20,960
4493018,05,7,200,1400
4493018,06,10,200,2000
4494018,06,15,200,3000
4494096,06,6,20,120
4498096,06,6,20,120
4498096,50,5,20,100
4498097,05,56,20,1120
4499018,06,1,200,200
4499019,06,2,200,400
4499096,06,16,20,320
4499096,50,5,20,100
4499097,05,7,20,140
4500018,06,4,200,800
4500019,05,1,200,200
4500020,05,5,200,1000
4500020,06,3,200,600
4500096,06,61,20,1220
4500096,50,56,20,1120
4500097,05,93,20,1860
4501020,06,4,200,800
4501021,05,1,200,200
4501096,06,62,20,1240
4501096,50,13,20,260
4501097,05,52,20,1040
4501097,06,25,20,500
4502197,06,1,19,19
4515308,06,1,17,17
4516019,05,4,200,800
4516096,05,47,20,940
4516096,06,11,20,220
4518018,06,8,200,1600
4518018,51,-5,200,-1000
4518019,05,26,200,5200
4532019,05,5,200,1000
4532096,05,19,20,380
4532096,06,12,20,240
4600018,06,3,200,600
4600019,05,12,200,2400
4600097,05,31,20,620
4613096,05,11,20,220
4630068,06,24,16,384
4631096,06,9,20,180
4789018,50,2,200,400
4790096,05,14,20,280
4790096,06,7,20,140
4790096,50,4,20,80
4791018,06,-3,200,-600
4791019,05,9,200,1800
4791096,05,14,20,280
4791096,06,14,20,280
4792018,06,-5,200,-1000
4792020,05,13,200,2600
4792096,05,35,20,700
4792096,06,61,20,1220
4792096,50,4,20,80
4793018,06,-2,200,-400
4793019,05,3,200,600
4793020,05,8,200,1600
4793096,06,13,20,260
4793096,50,2,20,40
4793097,05,16,20,320
4793098,05,17,20,340
4794018,06,1,200,200
4794019,05,7,200,1400
4794020,05,1,200,200
4794096,05,31,20,620
4794096,06,13,20,260
4794096,50,5,20,100
4794096,51,1,20,20
4795018,06,1,200,200
4795019,05,3,200,600
4795096,05,4,20,80
4795096,06,3,20,60
4795096,50,5,20,100
4796096,05,11,20,220
4796096,06,1,20,20
4796096,50,4,20,80
4873097,05,27,20,540
4874018,06,1,200,200
4874019,05,8,200,1600
4874096,06,5,20,100
4874097,05,29,20,580
4875096,06,11,20,220
4876018,03,5,200,1000
4876018,06,10,200,2000
4880042,05,15,208,3120
4881018,06,1,200,200
4881096,05,30,20,600
4882018,06,5,200,1000
4882019,05,3,200,600
4882021,05,1,200,200
4882096,05,21,20,420
4882096,06,9,20,180
4883018,05,4,200,800
4883018,06,8,200,1600
4883096,05,27,20,540
4883096,06,1,20,20
4883096,50,5,20,100
4884018,05,1,200,200
4884096,05,26,20,520
4891220,05,1,16,16
4896019,05,2,200,400
4897019,05,1,200,200
5000220,05,24,16,384
5000220,06,36,16,576
516036,06,1,181,181
516220,05,2,16,32
516220,06,8,16,128
6063512,42,9,6,54
6063512,51,2,6,12
6063512-EA,42,4,1,4
8051065,03,60,22,1320
8051065,05,107,22,2354
8051065,06,36,22,792
AA00002,42,38,10,380
AA00002-EA,42,4,1,4
AA00008,42,6,11,66
AA00048,34,-1,12,-12
AA00074,05,4,18,72
AA00074,42,14,18,252
AA00081,34,-1,8,-8
AA00081,42,38,8,304
AA00083,42,17,12,204
AA00121,42,4,5,20
AA00153,05,1,10,10
AA00153,34,-3,10,-30
AA00153,42,74,10,740
AA00165,03,395,22,8690
AA00165,42,300,22,6600
AA00165,51,33,22,726
AA00178,42,51,12,612
AA00182,42,41,18,738
AA00189,42,4,11,44
AA00215,42,58,15,870
AA00217,42,181,15,2715
AA00234,34,1,12,12
AA00239,42,40,15,600
AA00242,42,6,12,72
AA00265,42,18,12,216
AC00011,06,20,200,4000
AC00012,05,7,200,1400
AC00012,06,3,200,600
AC00017,05,6,250,1500
AC00037,06,30,20,600
AL00020,05,-1,20,-20
AL00062,05,58,156,9048
AL00108,34,1,15,15
AL00164,42,13,15,195
AL00170,42,15,15,225
AL00177,34,3,15,45
AL00189,42,3,15,45
AL00221,05,22,180,3960
AL00222,05,22,180,3960
AL00241,42,9,16,144
AL00414,05,3,0,0
AL00459,05,4,20,80
AL00557,05,7,18,126
AL00557,06,1,18,18
AL00557-P5,05,34,0,0
AL00597,05,2,200,400
AL00606,05,11,0,0
AL00618,05,1,1,1
AL00676,05,12,15,180
AL00676,06,2,15,30
AL00677,06,12,200,2400
AL00685,06,1,20,20
AL00686,05,1,5,5
AL00706,05,1,20,20
AL00721,34,-4,15,-60
AL00730,06,1,20,20
AL00734,06,140,1,140
AL00735,05,3,12,36
AL00766,05,5,20,100
AL00768,05,13,19,247
AL00772,42,65,12,780
AZ00001,06,1,0,0
AZ00008,06,2,0,0
AZ00028,06,3,0,0
AZ00029,06,2,0,0
CA00070,05,6,20,120
CA00071,42,6,20,120
FU00001,06,2,200,400
FU00021,05,10,20,200
FU00045,06,7,205,1435
FU00067,06,8,200,1600
FU00068,06,-11,200,-2200
FU00072,06,2,20,40
FU00100,06,3,200,600
FU00106,05,5,200,1000
FU00112,06,8,20,160
FU00122,06,2,200,400
FU00129,06,8,20,160
FU00137,05,6,18,108
FU00138,05,4,180,720
FU00142,06,5,20,100
FU00144,06,6,20,120
FU00148,06,3,200,600
FU00153,05,2,21,42
FU00153,06,35,21,735
FU00164,06,1,1000,1000
FU00169,06,1,20,20
FU00178,06,2,200,400
FU00188,06,5,200,1000
FU00206,06,1,200,200
FU00220,06,2,20,40
FU00222,06,3,20,60
FU00226,06,1,205,205
FU00229,05,4,20,80
FU00229,06,5,20,100
FU00246,06,2,200,400
FU00247,06,2,200,400
FU00250,06,1,200,200
FU00254,06,13,200,2600
GS00017,42,19,16,304
GS00020,05,4,20,80
GS00037,42,213,12,2556
GS00053,42,5,12,60
GS00095,03,409,16,6544
GS00095,51,76,16,1216
GS00100,03,166,18,2988
GS00100,51,42,18,756
GS00106,42,19,16,304
GS00114,42,20,18,360
GS00123,42,14,15,210
GS00129,06,5,20,100
HK00012,42,1,16,16
HK00038,34,1,12,12
HK00073,34,-1,12,-12
HK00108,42,4,12,48
HK00113,34,7,10,70
HT00024,42,22,15,330
HT00032,42,11,15,165
HT00048,42,7,15,105
SH00004,06,1,15,15
SH00059,05,1,15,15
SH00063,05,-1,18,-18
SH00090,05,1,18,18
SK00001,05,5,20,100
SK00022,42,3,12,36
SK00084,42,27,200,5400
SK00093,42,2,200,400
ST00032,06,2,20,40
SY00001,42,7,16,112
VA00016,05,31,12,372
