품목그룹1코드,총중량
(미매칭),1
(빈그룹),17349
AA,53562.254
AAA,855
AL,315
AVI,6016
CA,1216
CVL,273151
EXXO,8100
FU,12987
GS,24080
HO,765
IL,412477
LI,0.706
MB,85744
MOBIS,10886
PVL,171012.8
SH,30
SK,5960
ST,260
SY,248
VA,384
